timestamp,user_id,page_url
2025-04-01T00:06:23.609771,90,/growing-succulents-and-cacti
2025-04-01T00:07:04.736463,85,/winter-garden-prep
2025-04-01T00:07:58.774465,90,/winter-garden-prep
2025-04-01T00:10:44.043113,90,/winter-garden-prep
2025-04-01T00:13:35.035076,70,/seed-starting-indoors
2025-04-01T00:14:06.975678,92,/pruning-roses-for-maximum-blooms
2025-04-01T00:14:52.071231,92,/attracting-pollinators-to-your-garden
2025-04-01T00:15:07.285596,25,/soil-types-and-amendments
2025-04-01T00:15:16.591702,70,/creating-a-raised-garden-bed
2025-04-01T00:15:20.690381,9,/how-to-grow-tomatoes
2025-04-01T00:15:50.690381,9,/fall-garden-cleanup
2025-04-01T00:17:13.863182,9,/best-flowers-for-spring
2025-04-01T00:18:38.453926,25,/winter-garden-prep
2025-04-01T00:19:38.937749,79,/watering-guide-for-beginners
2025-04-01T00:20:08.937749,79,/hydroponics-for-home-gardeners
2025-04-01T00:20:38.658572,50,/fall-garden-cleanup
2025-04-01T00:21:28.048219,50,/pruning-roses-for-maximum-blooms
2025-04-01T00:25:37.120721,58,/watering-guide-for-beginners
2025-04-01T00:26:28.048219,50,/creating-a-raised-garden-bed
2025-04-01T00:32:36.208405,62,/winter-garden-prep
2025-04-01T00:41:07.149629,31,/hydroponics-for-home-gardeners
2025-04-01T00:41:18.244680,69,/seed-starting-indoors
2025-04-01T00:41:37.149629,31,/seed-starting-indoors
2025-04-01T00:41:58.869297,69,/guide-to-companion-planting
2025-04-01T00:42:28.869297,69,/watering-guide-for-beginners
2025-04-01T00:42:31.060988,31,/growing-succulents-and-cacti
2025-04-01T00:43:01.060988,31,/creating-a-raised-garden-bed
2025-04-01T00:44:03.401453,31,/attracting-pollinators-to-your-garden
2025-04-01T00:47:28.869297,69,/hydroponics-for-home-gardeners
2025-04-01T00:50:18.021280,82,/growing-herbs-indoors
2025-04-01T00:51:38.387306,69,/creating-a-raised-garden-bed
2025-04-01T00:53:00.435830,97,/organic-pest-control-tips
2025-04-01T00:56:16.121130,100,/dealing-with-garden-pests
2025-04-01T01:00:12.214420,5,/vertical-gardening-ideas
2025-04-01T01:01:41.231075,95,/growing-succulents-and-cacti
2025-04-01T01:06:41.231075,95,/growing-succulents-and-cacti
2025-04-01T01:07:00.201445,84,/hydroponics-for-home-gardeners
2025-04-01T01:07:11.231075,95,/composting-101
2025-04-01T01:08:03.447484,84,/seed-starting-indoors
2025-04-01T01:09:35.450431,54,/hydroponics-for-home-gardeners
2025-04-01T01:09:52.229941,38,/attracting-pollinators-to-your-garden
2025-04-01T01:10:05.450431,54,/growing-herbs-indoors
2025-04-01T01:11:11.691937,84,/soil-types-and-amendments
